tag,category,aliases,zh,count,notes
scaramouche_(genshin_impact),4,scaramouche|国崩|散兵|斯卡拉姆齐|阿散,散兵（原神）,26708,《原神》中愚人众执行官第六席，后成为流浪者
kagamine_rin,4,Rin|kagaminerin|rin_kagamine|rinkagamine|铃|镜音|镜音リン,镜音铃,25996,VOCALOID 的虚拟歌手，镜音连的双子搭档
inubashiri_momiji,4,inubashiri_momizi|椛|犬走もみじ,犬走椛,25957,《东方Project》中巡逻妖怪之山的白狼天狗
konpaku_youmu_(ghost),4,Myon|myon|半灵|半霊,魂魄妖梦（幽灵形态）,22784,《东方Project》中魂魄妖梦的幽灵半身
yakumo_ran,4,蓝,八云蓝,22699,《东方Project》中八云紫的式神，九尾狐
kaenbyou_rin,4,orin|お燐|火炎猫燐|火焔猫燐|燐,火焰猫燐,22666,《东方地灵殿》中的地狱猫，通称阿燐
kaga_(kancolle),4,kaga_(kantai_collection)|加贺|赤贺,加贺（舰队Collection）,22174,《舰队Collection》的航空母舰舰娘，一航战的一员
rumia,4,露米亚,露米娅,22113,《东方Project》中的妖怪，暗宵的妖怪
warrior_of_light_(ff14),4,avatar_(ff14)|avatar_(ffxiv)|光之战士|光呆,光之战士（最终幻想14）,22113,《最终幻想14》中玩家角色的代称
raiden_shogun,4,baal_(genshin_impact)|raiden_(genshin_impact)|raiden_ei|raiden_shogun_(genshin_impact)|raidenshogun|将军|巴尔泽布|影|雷电将军（原神）|雷电影,雷电将军,21978,《原神》中统治稻妻的雷神，追求永恒的神明
doodle_sensei_(blue_archive),4,,涂鸦老师（蔚蓝档案）,21905,《蔚蓝档案》中阿罗娜所画的老师涂鸦形象
moriya_suwako,4,洩矢诹访子|诹访子,泄矢诹访子,21904,《东方Project》中土著神的顶点
lumine_(genshin_impact),4,female_traveler_(genshin_impact)|hotaru_(genshin_impact)|lumine|旅人（原神）|旅行者（女）|荧妹|蛍|蛍（原神）,荧（原神）,21870,《原神》的女主角，旅行者双子中的妹妹
saber_(fate),4,Saber|artoria_pendragon_(saber)_(fate)|saber|亚瑟王|阿尔托莉雅|阿尔托莉雅·潘德拉贡|骑士王,阿尔托莉雅·潘德拉贡（Fate系列）,21138,《Fate/stay night》的女主角，职阶为剑士的不列颠之王
trailblazer_(honkai:_star_rail),4,开拓者|星|穹,开拓者（崩坏：星穹铁道）,20928,《崩坏：星穹铁道》的可选性别主角
mash_kyrielight,4,shielder_(fate/grand_order)|学妹|玛修|玛修.基利艾拉特|玛修·基利艾拉特,玛修·基列莱特,20772,《Fate/Grand Order》中的盾兵，主角的从者
shimakaze_(kancolle),4,Zekamashi|shimakaze_(kantai_collection)|zekamashi|岛风|岛风号|岛风酱,岛风（舰队Collection）,20633,《舰队Collection》中驱逐舰岛风的拟人
link,4,zelink|リンク,林克,20609,《塞尔达传说》系列的主角
reiuji_utsuho,4,Okuu|okuu|おくう|空|霊乌路空,灵乌路空,20580,《东方Project》中的地狱鸦，核融合的妖怪
chen,4,,橙,20517,《东方Project》中八云蓝的式神，猫又
kazami_yuuka,4,kazami_yuka|幽香|花妈,风见幽香,20220,《东方Project》中的四季花之主，妖怪魔法使
ganyu_(genshin_impact),4,ganyu|kan'u_(genshin_impact)|循循守月|椰羊|甘雨,甘雨（原神）,20137,《原神》中璃月七星的秘书，半人半麒麟
miki_sayaka,4,沙耶香,美树沙耶香,20048,《魔法少女小圆》中圆的好友，成为魔法少女
hina_(blue_archive),4,hina|hina_sorasaki|sorasaki_hina|日奈|空崎日奈|阳奈,空崎阳奈（蔚蓝档案）,19325,《蔚蓝档案》中格黑娜学园风纪委员会的委员长
fujimaru_ritsuka_(male),4,gudao|male_protagonist_(fate/grand_order)|咕哒|立香|藤丸立香,藤丸立香（男）,18942,《Fate/Grand Order》的男主人公
yuuka_(blue_archive),4,hayase_yuuka|yuuka|优香|早濑优香,早濑优香（蔚蓝档案）,18771,《蔚蓝档案》中千年科学学园研讨会的会计
tatara_kogasa,4,小伞,多多良小伞,18646,《东方Project》中的伞妖怪，星莲船登场
kawashiro_nitori,4,荷取,河城荷取,18596,《东方Project》中《风神录》三面BOSS，河童工程师
asuna_(blue_archive),4,ichinose_asuna|一之濑明日奈|一之瀬明日奈|明日奈,一之濑明日奈（蔚蓝档案）,18241,《蔚蓝档案》千年科学学园 C&C 的成员，代号 01
hibiki_(kancolle),4,hibiki_(kantai_collection)|响,响（舰队Collection）,18013,《舰队Collection》中驱逐舰响的舰娘，第六驱逐队成员
gotoh_hitori,4,bocchi_(bocchi_the_rock!)|gotou_hitori|后藤独|波奇|波奇酱,后藤一里,17867,《孤独摇滚》的主角，昵称「小孤独」的吉他手
houraisan_kaguya,4,辉夜|辉夜姬,蓬莱山辉夜,17846,《东方Project》永夜抄的最终头目，月之公主
kamishirasawa_keine,4,上白沢慧音|慧音,上白泽慧音,17831,《东方Project》中的白泽半兽，寺子屋老师
hinanawi_tenshi,4,天子,比那名居天子,17828,《东方Project》中天界的天人，绯想天的最终首领
kasane_teto,4,Teto|kasaneteto|teto|tetokasane|テト|重音テト,重音Teto,17821,UTAU 虚拟歌姬，红色双钻卷发的少女
houshou_marine,4,宝钟マリン|玛琳|船长,宝钟玛琳,17788,hololive 三期生的虚拟YouTuber，自称船长
shigure_(kancolle),4,shigure_(kantai_collection)|大天使时雨|时雨,时雨（舰队Collection）,17731,《舰队Collection》中驱逐舰时雨的拟人
gardevoir,4,,沙奈朵,17603,宝可梦系列中的超能力／妖精属性宝可梦
souryuu_asuka_langley,4,asuka|asuka_langley_soryu|asuka_langley_souryuu|asukalangleysoryu|asukalangleysouryuu|evangelion_asuka|shikinami_asuka_langley|soryu_asuka_langley|soryuasukalangley|souryuuasukalangley|アスカ|式波|式波·明日香·兰格雷|明日香,惣流·明日香·兰格雷,17414,《新世纪福音战士》中的二号机驾驶员
pikachu,4,ピカチュウ,皮卡丘,17296,《宝可梦》系列的招牌宝可梦，电属性黄色老鼠
kagamine_len,4,Len|kagamine_ren|连|镜音|镜音レン,镜音连,17124,VOCALOID 的虚拟歌手，镜音铃的双子搭档
sakura_kyoko,4,sakura_kyouko|佐倉杏子|杏子,佐仓杏子,17053,《魔法少女小圆》中使用长枪的魔法少女
tomoe_mami,4,学姐|麻美,巴麻美,16822,《魔法少女小圆》中经验丰富的魔法少女
tifa_lockhart,4,tifa|tifa_lockheart|tifalockhart|ティファ|蒂法,蒂法·洛克哈特,16766,《最终幻想7》的女主角，米德加的酒吧店主
princess_zelda,4,zelda|塞尔达|萨尔达,塞尔达公主,16492,《塞尔达传说》系列的女主角，海拉鲁的公主
firefly_(honkai:_star_rail),4,firefly|fireflyhsr|hotaru_(honkai:_star_rail)|流萤|萤火虫|萨姆,流萤（崩坏：星穹铁道）,16489,《崩坏：星穹铁道》中星核猎手的成员，机甲萨姆的驾驶员
fujimaru_ritsuka_(female),4,female_protagonist_(fate/grand_order)|gudako|咕哒子|立香|藤丸立香,藤丸立香（女）,16447,《Fate/Grand Order》的女主人公
gawr_gura,4,Gura|gawrgura|gawrt|鲨鲨,噶呜·古拉,16399,hololive English 的鲨鱼 VTuber，holoMyth 成员
mystia_lorelei,4,夜雀|米斯蒂娅,米斯蒂娅·萝蕾拉,16209,《东方Project》中的夜雀，经营烤鳗鱼摊
koakuma,4,小悪魔,小恶魔,16102,《东方Project》红魔馆的恶魔，红魔乡四面中Boss
nazrin,4,纳兹琳,娜兹玲,16075,《东方Project》中的鼠妖怪，寻宝大将
frieren,4,フリーレン,芙莉莲,16046,《葬送的芙莉莲》的主角，精灵族魔法使
mika_(blue_archive),4,mika|misono_mika|misonomika|圣园未花|未花,圣园未花（蔚蓝档案）,16024,《蔚蓝档案》茶话会成员，三一综合学园学生
ibuki_suika,4,萃香|西瓜,伊吹萃香,15930,《东方Project》的鬼族，小小的百鬼夜行
shirakami_fubuki,4,吹雪|狐狸|白上フブキ,白上吹雪,15842,hololive 一期生兼 GAMERS 成员，狐娘 VTuber
cloud_strife,4,クラウド|克劳德,克劳德·斯特莱夫,15698,《最终幻想VII》的主角，原神罗特种兵
inaba_tewi,4,inaba_tei|tewi-inaba|因幡てゐ|帝,因幡帝,15698,《东方Project》中永远亭的地上兔
inkling_player_character,4,3号|4号|乌贼|鱿鱼,乌贼玩家角色（斯普拉遁）,15557,《斯普拉遁》系列中可自定义的玩家角色
usami_renko,4,莲子,宇佐见莲子,15330,《东方Project》中密封俱乐部的成员，京都的物理学学生
hoshimachi_suisei,4,hoshimati_suisei|彗酱|星街すいせい,星街彗星,15152,hololive 的虚拟YouTuber，以歌手活动闻名
hoshino_(blue_archive),4,takanashi_hoshino|小鸟游星野|星野,小鸟游星野（蔚蓝档案）,15006,《蔚蓝档案》中阿比多斯对策委员会的队长
maribel_hearn,4,maribel_han|梅莉|玛艾露贝莉,玛艾露贝莉·赫恩,14954,《东方Project》音乐CD中登场的少女，昵称梅莉
wanderer_(genshin_impact),4,scaramouche_(wanderer)_(genshin_impact)|wanderer|国崩|放浪者（原神）|散兵|流浪者|阿散,流浪者（原神）,14896,《原神》中散兵的可玩形态，风元素法器角色
rio_(blue_archive),4,tsukatsuki_rio|莉音|调月莉央|调月莉音,调月莉音（蔚蓝档案）,14645,《蔚蓝档案》中千年学生会的会长，被称为大姐
hijiri_byakuren,4,白莲,圣白莲,14629,《东方Project》中命莲寺的住持，被封印的大魔法师
hu_tao_(genshin_impact),4,hu_tao|堂主|胡桃|雪霁梅香,胡桃（原神）,14515,《原神》中的火元素角色，往生堂第七十七代堂主
trainer_(umamusume),4,トレーナー|训练员,训练员（赛马娘）,14441,《赛马娘》中担任马娘教练的玩家视角角色
ouro_kronii,4,Kronii|kroniillust|kronillust|ourokronii|克洛尼,奥罗·克洛尼,14277,hololive English二期生的时间管理者VTuber
houjuu_nue,4,鵺,封兽鵺,14037,《东方Project》中星莲船的 EX 面头目
kongou_(kancolle),4,kongou_(kantai_collection)|金刚|金刚改二|金刚改二丙,金刚（舰队Collection）,14037,《舰队Collection》中战列舰金刚的拟人舰娘
agnes_tachyon_(umamusume),4,爱丽速子|速子,爱丽速子（赛马娘）,13854,《赛马娘》中的疯狂科学家马娘，上坂堇配音
megurine_luka,4,Luka|luka|巡音ルカ|流歌,巡音流歌,13846,VOCALOID 的虚拟歌手，Character Vocal 系列第三弹
furina_(genshin_impact),4,furina|furina_de_fontaine|不休独舞|水神|芙宁娜|芙宁娜·德·枫丹,芙宁娜（原神）,13829,《原神》中的水神，枫丹的正义之神
aether_(genshin_impact),4,aether|aether(genshinimpact)|kong_(genshin_impact)|male_traveler_(genshin_impact)|sora_(genshin_impact)|原神空|旅人（原神）|旅行者（男）,空（原神）,13814,《原神》的男主角，荧的双胞胎哥哥
nanami_chiaki,4,七海,七海千秋,13748,《弹丸论破2》中的超高校级游戏玩家
jeanne_d'arc_alter_(fate),4,jalter|jeannealter|贞德Alter|黑贞|黑贞德,贞德〔Alter〕（Fate系列）,13715,《Fate/Grand Order》中黑化的贞德，被称为黑贞
inazuma_(kancolle),4,inazuma_(kantai_collection),电（舰队Collection）,13549,《舰队Collection》的初始驱逐舰娘之一
inkling_girl,4,乌贼少女|墨鱼娘|墨鱼少女,乌贼女孩,13476,《斯普拉遁》系列中可选的女性玩家角色
yagokoro_eirin,4,永琳,八意永琳,13253,《东方Project》的月之头脑，制作蓬莱之药的月民
elysia_(honkai_impact),4,elysia|爱莉|爱莉希雅,爱莉希雅（崩坏3）,13234,《崩坏3》的逐火十三英桀之一，代号自我
nahida_(genshin_impact),4,kusanali_(genshin_impact)|nahida|小吉祥草王|小草神|布耶尔|白草净华|纳西妲|草神,纳西妲（原神）,13200,《原神》中的草神，须弥的智慧之神
yasaka_kanako,4,神奈子,八坂神奈子,13166,《东方Project》中守矢神社的祭神，山与湖的化身
mizuhashi_parsee,4,帕露西,水桥帕露西,13165,《东方Project》中《地灵殿》的桥姬，嫉妒心极强
akemi_homura_(magical_girl),4,曉美焰|焰,晓美焰（魔法少女形态）,13154,《魔法少女小圆》中晓美焰身为魔法少女的装束
stelle_(honkai:_star_rail),4,female_trailblazer_(honkai:_star_rail)|kafstel|stelle|stellehsr|女主角|开拓者（女）|星穹铁道女主|星（崩坏:星穹铁道）,星（崩坏：星穹铁道）,13029,《崩坏：星穹铁道》的女主角，开拓者
manhattan_cafe_(umamusume),4,曼城茶座,曼城茶座（赛马娘）,13016,《赛马娘》中爱好咖啡、易招灵异现象的赛马娘
akagi_(kancolle),4,akagi_(kantai_collection)|赤城|赤贺,赤城（舰队Collection）,12996,《舰队Collection》中赤城号航母的舰娘
fubuki_(kancolle),4,fbk|fubuki_(kantai_collection)|吹雪,吹雪（舰队Collection）,12908,《舰队Collection》中日本驱逐舰吹雪的拟人化角色
kisaki_(blue_archive),4,kisaki|ryuuge_kisaki|妃咲|妃咲会长|龍華妃咲|龙华妃咲,龙华妃咲（蔚蓝档案）,12900,《蔚蓝档案》中玄龙门的门主，山海经的学生会长
doctor_(arknights),4,dokutah|刀客塔|博士,博士（明日方舟）,12849,《明日方舟》的玩家角色，罗德岛的指挥官
abigail_williams_(fate),4,abby|abigail|abigail_williams_(fate/grand_order)|阿比|阿比盖尔,阿比盖尔·威廉姆斯（Fate系列）,12687,《FGO》的外来者职阶从者，塞勒姆的魔女
ninomae_ina'nis,4,一伊那尓栖|伊那尓栖|伊那尔栖,一伊那尔栖,12558,hololive EN 一期生 holoMyth 的触手系VTuber
mori_calliope,4,callilewd|callillust|callilust|calliope|calliopemori|moricalliope|死神,森美声,12526,hololive EN 一期生的死神学徒 VTuber
yae_miko,4,eimiko|guuji_yae|yae_(genshin_impact)|yaemiko|宫司|屑狐狸|浮世笑百姿|神子,八重神子,12423,《原神》中稻妻鸣神大社的宫司，狐之化身
2b_(nier:automata),4,2b|2b_(nier)|yorha2b|yorha_2b|yorha_no._2_type_b|yorhatype2b|寄叶2B,2B（尼尔：机械纪元）,12306,《尼尔：机械纪元》的主角，寄叶二号B型战斗安卓
kagiyama_hina,4,转转|转转神|雏,键山雏,12190,《东方Project》中背负厄运的厄神
yuudachi_(kancolle),4,poi|yuudachi_(kantai_collection)|夕立|夕立改二,夕立（舰队Collection）,12153,舰队Collection的驱逐舰舰娘
tenryuu_(kancolle),4,tenryuu_(kantai_collection)|天龙,天龙（舰队Collection）,11994,《舰队Collection》中天龙型轻巡洋舰的舰娘
toki_(blue_archive),4,asuma_toki|小时|时|飞鸟马时,飞鸟马时（蔚蓝档案）,11994,《蔚蓝档案》千年科学学园C&C的成员
amiya_(arknights),4,amiya|阿米娅,阿米娅（明日方舟）,11966,《明日方舟》的主角，罗德岛的公开领袖
usada_pekora,4,pekora|usadapekora|佩克拉,兔田佩克拉,11894,hololive 三期生的兔子 VTuber，自称兔田建设社长
aerith_gainsborough,4,aeris|aeris_gainsborough|爱丽丝|爱丽丝（最终幻想）|艾莉丝,爱丽丝·盖恩斯巴勒,11702,《最终幻想7》的可玩角色，卖花的古代种
nekomata_okayu,4,okayu|小粥,猫又小粥,11621,hololive GAMERS 的猫耳 VTuber
aris_(blue_archive),4,alice_(blue_archive)|aris|arisu|arisu_(blue_archive)|tendou_aris|天童爱丽丝|爱丽丝,天童爱丽丝（蔚蓝档案）,11609,《蔚蓝档案》中游戏开发部的成员
shigure_kai_ni_(kancolle),4,时雨|时雨改二,时雨改二（舰队Collection）,11578,《舰队Collection》中时雨的改二形态
producer_(idolmaster),4,P|制作人,制作人（偶像大师）,11463,《偶像大师》系列中的玩家角色，偶像们的制作人
shiroko_(blue_archive),4,shiroko|sunaookami_shiroko|白子|砂狼白子,砂狼白子（蔚蓝档案）,11453,《蔚蓝档案》中对策委员会的战地队长
ikazuchi_(kancolle),4,ikazuchi_(kantai_collection)|电|电酱,雷（舰队Collection）,11433,舰队Collection 中驱逐舰雷的舰娘
toyosatomimi_no_miko,4,神子,丰聪耳神子,11418,《东方Project》的角色，尸解成仙的道士
nero_claudius_(fate),4,尼禄|尼禄.克劳狄乌斯|尼禄·克劳狄乌斯|罗马,尼禄·克劳狄乌斯（Fate系列）,11360,《Fate》系列的 Saber 职阶从者，罗马暴君尼禄
yor_briar,4,yor|yor_forger|约儿|约尔|约尔·福杰|荆棘公主,约尔·布莱尔,11348,《间谍过家家》的女主角，代号荆棘公主的杀手
kayoko_(blue_archive),4,onikata_kayoko|佳代子|鬼方佳世子|鬼方佳代子,鬼方佳代子（蔚蓝档案）,11328,《蔚蓝档案》中问题解决部68的成员
daiyousei,4,大妖精,大妖精,11273,《东方Project》中与琪露诺要好的妖精
mari_(blue_archive),4,iochi_mari|mari|伊落玛丽|玛丽,伊落玛丽（蔚蓝档案）,11214,《蔚蓝档案》中三一学院修女会的成员
manjuu_(azur_lane),4,蛮啾,蛮啾（碧蓝航线）,11156,《碧蓝航线》中的黄色小鸡吉祥物
togawa_sakiko,4,祥子|豊川祥子,丰川祥子,11150,《BanG Dream! It's MyGO!!!!!》中 Ave Mujica 的键盘手
illyasviel_von_einzbern,4,illya|illya_von_einzbern|ilya|伊利雅|伊莉雅,伊莉雅丝菲尔·冯·爱因兹贝伦,11063,《Fate/stay night》的御主，爱因兹贝伦家的人造人
suzumiya_haruhi,4,haruhi_suzumiya|haruhisuzumiya|suzumiyaharuhi|团长|春日,凉宫春日,11046,《凉宫春日的忧郁》的主角，热爱超自然现象
kazusa_(blue_archive),4,kazusa|kyouyama_kazusa|和纱|杏山和纱,杏山和纱（蔚蓝档案）,10995,《蔚蓝档案》放学后甜点部成员，曾经的不良少女
makima_(chainsaw_man),4,makima_chainsaw_man|makimachainsawman|支配恶魔|玛奇玛,玛奇玛（电锯人）,10898,《电锯人》中公安对魔特异4课的部长
hamakaze_(kancolle),4,hamakaze_(kantai_collection)|浜風|浜风|滨风,滨风（舰队Collection）,10868,《舰队Collection》中日本驱逐舰滨风的拟人化
tohsaka_rin,4,toosaka_rin|凛|遠坂凜,远坂凛,10861,《Fate/stay night》的女主角之一，远坂家的魔术师
kirby,4,,卡比,10860,《星之卡比》系列的主角，粉色球形生物
nami_(one_piece),4,nami|娜美|小贼猫娜美,娜美（航海王）,10859,《航海王》中草帽海贼团的航海士
misaka_mikoto,4,炮姐|美琴,御坂美琴,10783,《魔法禁书目录》的角色，常盘台中学的超能力者
megumin,4,爆裂魔法使,惠惠,10759,《为美好的世界献上祝福！》的爆裂魔法师
zuikaku_(kancolle),4,zuikaku_(kantai_collection)|瑞鹤,瑞鹤（舰队Collection）,10751,舰队Collection的航空母舰舰娘，翔鹤级二号舰
akatsuki_(kancolle),4,akatsuki_(kantai_collection)|晓,晓（舰队Collection）,10680,《舰队Collection》中晓号驱逐舰的舰娘
nishizumi_miho,4,美穗|队长&次期队长,西住美穗,10649,《少女与战车》的主角，大洗女子学园战车道队长
hoshiguma_yuugi,4,hoshiguma_yugi|勇仪,星熊勇仪,10586,《东方Project》中的鬼族角色，怪力乱神
akiyama_mio,4,akiyamamio|澪,秋山澪,10556,《轻音少女》中放学后茶会的贝斯手兼主唱
mononobe_no_futo,4,布都,物部布都,10527,《东方Project》神灵庙五面的 BOSS
kaname_madoka_(magical_girl),4,圆神|小圆,鹿目圆（魔法少女形态）,10520,鹿目圆变身魔法少女后的姿态
gold_ship_(umamusume),4,gold_ship|goldship|阿船|黄金船,黄金船（赛马娘）,10486,《赛马娘》中性格古怪奔放、讨厌无聊的马娘
shiki_eiki,4,shikieiki_yamaxanadu|sikieiki_yamaxanadu|四季|四季映姫|映姬,四季映姬,10471,《东方Project》中的乐园最高裁判长
takanashi_kiara,4,kiara|kiaratakanashi|takanashikiara|火鸡|琪亚拉,小鸟游琪亚拉,10446,hololive EN 的凤凰 VTuber
chihaya_anon,4,爱音,千早爱音,10436,《BanG Dream! It's MyGO!!!!!》中MyGO!!!!!的吉他手
ayanami_rei,4,ayanamirei|evangelion_rei|rei|rei_ayanami|reiayanami|丽|绫波,绫波丽,10399,《新世纪福音战士》的第一适格者，零号机驾驶员
haruna_(kancolle),4,haruna_(kantai_collection)|榛名|榛名改二,榛名（舰队Collection）,10391,《舰队Collection》中的金刚型战列舰娘
wriggle_nightbug,4,莉格露,莉格露·奈特巴格,10325,《东方永夜抄》第一关首领，萤火虫妖怪
shanghai_doll,4,上海|上海人形,上海人偶,10295,《东方Project》中爱丽丝·玛格特罗伊德操纵的人偶
onozuka_komachi,4,小町,小野冢小町,10285,《东方Project》中的死神，三途河摆渡人
phainon_(honkai:_star_rail),4,phainon|白厄,白厄（崩坏：星穹铁道）,10198,《崩坏：星穹铁道》的可操作角色，黄金裔之一
koharu_(blue_archive),4,shimoe_koharu|下江小春|小春,下江小春（蔚蓝档案）,10197,《蔚蓝档案》中补课部与正义实现部的成员
sakura_miko,4,miko_art|さくらみこ|精英巫女,樱巫女,10192,hololive 的巫女 VTuber，自称精英
zhongli_(genshin_impact),4,shouri_(genshin_impact)|zhongli|尘世闲游|岩王帝君|帝君|摩拉克斯|钟离,钟离（原神）,10153,《原神》往生堂的客卿，岩神摩拉克斯
rem_(re:zero),4,rem|蕾姆|雷姆,蕾姆（Re:从零开始的异世界生活）,10141,罗兹瓦尔宅邸的女仆，拉姆的妹妹
imaizumi_kagerou,4,影狼,今泉影狼,10057,《东方Project》中居住在竹林的狼女
morichika_rinnosuke,4,kourin|霖之助|香霖,森近霖之助,10041,《东方Project》中香霖堂的店主，半人半妖
reze_(chainsaw_man),4,炸弹人|炸弹恶魔|蕾塞,蕾塞（电锯人）,10010,《电锯人》中的炸弹恶魔人，来自苏联的刺客
fate_testarossa,4,fate_t_harlaown|fate_testarossa_harlaown|菲特,菲特·泰斯塔罗莎,10004,《魔法少女奈叶》中的主角之一，奈叶的挚友与对手
kashima_(kancolle),4,kashima_(kantai_collection)|三越鹿岛|鹿岛|鹿岛风,鹿岛（舰队Collection）,9998,舰队Collection 中日本练习巡洋舰鹿岛的拟人化
yuudachi_kai_ni_(kancolle),4,夕立|夕立改二,夕立改二（舰队Collection）,9929,舰队Collection中夕立的改二形态
tokoyami_towa,4,towart|托瓦|永远,常暗永远,9883,hololive 四期生「holoForce」的VTuber
mona_(genshin_impact),4,astrologist_mona_megistus|mona|mona_megistus|星天水镜|莫娜|阿斯托洛吉斯·莫娜·梅姬斯图斯,莫娜（原神）,9828,《原神》的水元素角色，自称占星术士
sakayori_iroha,4,,酒寄彩叶,9828,《超辉夜姬！》的主角，一边打工一边歌唱的女高中生
nagato_(kancolle),4,nagato_(kantai_collection)|长门,长门（舰队Collection）,9818,舰队Collection的战列舰舰娘
rice_shower_(umamusume),4,米浴,米浴（赛马娘）,9811,《赛马娘》中以赛马米浴为原型的马娘
yuzuki_yukari,4,,结月缘,9729,AH-Software 的 VOCALOID 语音合成角色
oma_kokichi,4,kokichi|kokichiouma|ouma_kokichi|小吉,王马小吉,9694,《弹丸论破V3》中超高校级的首领
fern_(sousou_no_frieren),4,fern|菲伦,菲伦（葬送的芙莉莲）,9643,《葬送的芙莉莲》中芙莉莲的徒弟
nanashi_mumei,4,nanashimumei|七诗无铭|无名,七诗无名,9629,hololive EN二期生VTuber，以猫头鹰形象活动
minato_aqua,4,aqua|阿夸,凑阿库娅,9588,hololive 二期生的 VTuber，自称虚拟女仆
march_7th_(honkai:_star_rail),4,mar._7th|march7th|三月七,三月七（崩坏：星穹铁道）,9581,《崩坏：星穹铁道》主角团成员，失忆的少女
pyra_(xenoblade),4,homura_(xenoblade_2)|pyra,焰（异度神剑）,9513,《异度神剑2》中莱克斯的异刃，日文名为焰
scathach_(fate),4,scathach_(fate/grand_order)|师匠|斯卡哈,斯卡哈（Fate系列）,9483,《Fate/Grand Order》的枪阶从者，影之国的女王
belle_(zenless_zone_zero),4,belle|铃,铃（绝区零）,9430,《绝区零》的主角之一，绳匠“法厄同”的成员
dawn_(pokemon),4,hikari_(pokemon)|platina_(pokemon)|platina_berlitz|platinum_(pokemon)|platinum_berlitz|光|光殿|小光,小光（宝可梦）,9411,《宝可梦 钻石／珍珠》的女主角，训练家
suzuya_(kancolle),4,suzuya_(kantai_collection)|铃谷,铃谷（舰队Collection）,9394,《舰队Collection》的重巡洋舰舰娘
kyubey,4,kyuubee|kyuubey|qb,丘比,9368,《魔法少女小圆》中劝诱少女签约的孵化者
ellen_joe,4,ellenjoe|艾莲|艾莲乔|鲨鱼妹,艾莲·乔,9349,《绝区零》中的鲨鱼希人，维多利亚家政女仆
